,LGA,Period,%_responses_more_than_15min,avg_response_time_min,total_num_first_responses
304,Port Phillip,31/03/2021,85.9%,11:26,"1,267"
305,Pyrenees,31/03/2021,38.7%,20:15,150
306,Queenscliffe,31/03/2021,57.7%,15:30,71
307,South Gippsland,31/03/2021,40.0%,21:00,482
308,Southern Grampians,31/03/2021,62.4%,16:00,173
309,Stonnington,31/03/2021,84.2%,12:16,"1,117"
310,Strathbogie,31/03/2021,34.0%,20:31,203
311,Surf Coast,31/03/2021,57.9%,15:22,418
312,Swan Hill,31/03/2021,67.3%,14:46,281
313,Towong,31/03/2021,32.6%,26:13,92
314,Wangaratta,31/03/2021,72.2%,14:48,489
315,Warrnambool,31/03/2021,90.4%,10:17,450
316,Wellington,31/03/2021,57.1%,17:31,674
317,West Wimmera,31/03/2021,32.1%,25:23,28
318,Whitehorse,31/03/2021,85.5%,11:12,"1,651"
319,Whittlesea,31/03/2021,74.2%,13:29,"2,693"
320,Wodonga,31/03/2021,84.1%,11:45,634
321,Wyndham,31/03/2021,72.9%,13:21,"2,510"
322,Yarra,31/03/2021,89.4%,10:57,"1,154"
323,Yarra Ranges,31/03/2021,66.5%,14:36,"1,860"
324,Yarriambiack,31/03/2021,31.5%,21:50,111
325,Unincorporated,31/03/2021,20.0%,52:01,10
326,Interstate LGAs,31/03/2021,50.3%,19:05,302
327,Total AV,31/03/2021,75.1%,13:19,"81,648"
